src_A_mod64,src_l_mod4,dst_Aplus_mod64,dst_lplus_mod4,count,prob,src_total
0,0,4,1,1,0.0037313432835820895,268
0,0,28,1,1,0.0037313432835820895,268
0,0,40,3,1,0.0037313432835820895,268
0,0,60,3,1,0.0037313432835820895,268
0,0,24,3,1,0.0037313432835820895,268
0,0,10,3,1,0.0037313432835820895,268
0,0,12,3,1,0.0037313432835820895,268
0,0,30,1,1,0.0037313432835820895,268
0,0,22,3,1,0.0037313432835820895,268
0,0,12,1,1,0.0037313432835820895,268
0,0,54,0,1,0.0037313432835820895,268
0,0,16,2,1,0.0037313432835820895,268
0,0,32,3,1,0.0037313432835820895,268
0,0,12,2,1,0.0037313432835820895,268
0,0,44,1,1,0.0037313432835820895,268
0,0,10,1,1,0.0037313432835820895,268
0,1,60,2,6,0.024096385542168676,249
0,1,18,2,6,0.024096385542168676,249
0,1,8,1,5,0.020080321285140562,249
0,1,42,2,5,0.020080321285140562,249
0,1,16,2,5,0.020080321285140562,249
0,1,8,0,5,0.020080321285140562,249
0,1,52,0,5,0.020080321285140562,249
0,1,36,0,4,0.01606425702811245,249
0,1,18,3,4,0.01606425702811245,249
0,1,30,0,4,0.01606425702811245,249
0,1,10,2,4,0.01606425702811245,249
0,1,26,2,4,0.01606425702811245,249
0,1,8,2,4,0.01606425702811245,249
0,1,0,0,4,0.01606425702811245,249
0,1,36,2,4,0.01606425702811245,249
0,1,26,1,4,0.01606425702811245,249
0,1,34,1,4,0.01606425702811245,249
0,1,14,2,4,0.01606425702811245,249
0,1,60,1,4,0.01606425702811245,249
0,1,62,2,4,0.01606425702811245,249
0,1,20,0,3,0.012048192771084338,249
0,1,24,2,3,0.012048192771084338,249
0,1,2,0,3,0.012048192771084338,249
0,1,6,2,3,0.012048192771084338,249
0,1,48,0,3,0.012048192771084338,249
0,1,42,1,3,0.012048192771084338,249
0,1,4,2,3,0.012048192771084338,249
0,1,50,2,3,0.012048192771084338,249
0,1,32,2,3,0.012048192771084338,249
0,1,54,0,3,0.012048192771084338,249
0,1,54,2,3,0.012048192771084338,249
0,1,32,1,3,0.012048192771084338,249
0,1,24,1,3,0.012048192771084338,249
0,1,14,0,3,0.012048192771084338,249
0,1,50,0,3,0.012048192771084338,249
0,1,6,0,3,0.012048192771084338,249
0,1,40,3,3,0.012048192771084338,249
0,1,6,3,3,0.012048192771084338,249
0,1,2,1,3,0.012048192771084338,249
0,1,44,2,3,0.012048192771084338,249
0,1,48,3,3,0.012048192771084338,249
0,1,18,0,2,0.008032128514056224,249
0,1,54,1,2,0.008032128514056224,249
0,1,34,2,2,0.008032128514056224,249
0,1,38,3,2,0.008032128514056224,249
0,1,50,1,2,0.008032128514056224,249
0,1,36,1,2,0.008032128514056224,249
0,1,22,0,2,0.008032128514056224,249
0,1,30,3,2,0.008032128514056224,249
0,1,28,2,2,0.008032128514056224,249
0,1,44,0,2,0.008032128514056224,249
0,1,16,1,2,0.008032128514056224,249
0,1,46,2,2,0.008032128514056224,249
0,1,2,3,2,0.008032128514056224,249
0,1,58,3,2,0.008032128514056224,249
0,1,58,0,2,0.008032128514056224,249
0,1,62,3,2,0.008032128514056224,249
0,1,30,2,2,0.008032128514056224,249
0,1,4,0,2,0.008032128514056224,249
0,1,60,0,2,0.008032128514056224,249
0,1,22,2,2,0.008032128514056224,249
0,1,12,2,2,0.008032128514056224,249
0,1,10,1,2,0.008032128514056224,249
0,1,16,3,2,0.008032128514056224,249
0,1,20,2,2,0.008032128514056224,249
0,1,12,0,2,0.008032128514056224,249
0,1,46,3,2,0.008032128514056224,249
0,1,28,1,2,0.008032128514056224,249
0,1,0,2,2,0.008032128514056224,249
0,1,44,3,1,0.004016064257028112,249
0,1,28,3,1,0.004016064257028112,249
0,1,52,2,1,0.004016064257028112,249
0,1,22,3,1,0.004016064257028112,249
0,1,62,1,1,0.004016064257028112,249
0,1,20,3,1,0.004016064257028112,249
0,1,24,0,1,0.004016064257028112,249
0,1,56,3,1,0.004016064257028112,249
0,1,12,3,1,0.004016064257028112,249
0,1,56,2,1,0.004016064257028112,249
0,1,4,3,1,0.004016064257028112,249
0,1,46,1,1,0.004016064257028112,249
0,1,52,1,1,0.004016064257028112,249
0,1,20,1,1,0.004016064257028112,249
0,1,24,3,1,0.004016064257028112,249
0,1,26,0,1,0.004016064257028112,249
0,1,36,3,1,0.004016064257028112,249
0,1,22,1,1,0.004016064257028112,249
0,1,62,0,1,0.004016064257028112,249
0,1,2,2,1,0.004016064257028112,249
0,1,14,3,1,0.004016064257028112,249
0,1,0,1,1,0.004016064257028112,249
0,1,12,1,1,0.004016064257028112,249
0,1,8,3,1,0.004016064257028112,249
0,1,4,1,1,0.004016064257028112,249
0,1,16,0,1,0.004016064257028112,249
0,1,34,0,1,0.004016064257028112,249
0,1,32,0,1,0.004016064257028112,249
0,1,6,1,1,0.004016064257028112,249
0,1,56,1,1,0.004016064257028112,249
0,1,32,3,1,0.004016064257028112,249
0,1,28,0,1,0.004016064257028112,249
0,1,40,0,1,0.004016064257028112,249
0,1,44,1,1,0.004016064257028112,249
0,1,58,2,1,0.004016064257028112,249
0,1,42,3,1,0.004016064257028112,249
0,1,40,2,1,0.004016064257028112,249
0,1,50,3,1,0.004016064257028112,249
0,1,52,3,1,0.004016064257028112,249
0,1,56,0,1,0.004016064257028112,249
0,1,38,0,1,0.004016064257028112,249
0,2,10,0,8,0.030418250950570342,263
0,2,34,2,6,0.022813688212927757,263
0,2,40,2,6,0.022813688212927757,263
0,2,22,2,6,0.022813688212927757,263
0,2,52,2,5,0.019011406844106463,263
0,2,14,2,5,0.019011406844106463,263
0,2,18,0,5,0.019011406844106463,263
0,2,50,2,5,0.019011406844106463,263
0,2,52,3,5,0.019011406844106463,263
0,2,16,2,5,0.019011406844106463,263
0,2,2,0,4,0.015209125475285171,263
0,2,54,1,4,0.015209125475285171,263
0,2,48,0,4,0.015209125475285171,263
0,2,52,0,4,0.015209125475285171,263
0,2,12,3,4,0.015209125475285171,263
0,2,62,0,4,0.015209125475285171,263
0,2,18,1,4,0.015209125475285171,263
0,2,32,3,4,0.015209125475285171,263
0,2,4,2,4,0.015209125475285171,263
0,2,56,0,4,0.015209125475285171,263
0,2,26,1,4,0.015209125475285171,263
0,2,42,3,4,0.015209125475285171,263
0,2,42,2,3,0.011406844106463879,263
0,2,28,3,3,0.011406844106463879,263
0,2,14,1,3,0.011406844106463879,263
0,2,40,3,3,0.011406844106463879,263
0,2,20,0,3,0.011406844106463879,263
0,2,56,1,3,0.011406844106463879,263
0,2,22,0,3,0.011406844106463879,263
0,2,38,2,3,0.011406844106463879,263
0,2,0,0,3,0.011406844106463879,263
0,2,44,0,3,0.011406844106463879,263
0,2,16,0,3,0.011406844106463879,263
0,2,32,2,3,0.011406844106463879,263
0,2,46,2,3,0.011406844106463879,263
0,2,6,0,3,0.011406844106463879,263
0,2,38,0,3,0.011406844106463879,263
0,2,42,0,3,0.011406844106463879,263
0,2,2,2,3,0.011406844106463879,263
0,2,38,3,3,0.011406844106463879,263
0,2,58,2,3,0.011406844106463879,263
0,2,12,2,3,0.011406844106463879,263
0,2,12,1,3,0.011406844106463879,263
0,2,28,2,3,0.011406844106463879,263
0,2,60,3,3,0.011406844106463879,263
0,2,6,2,2,0.0076045627376425855,263
0,2,22,1,2,0.0076045627376425855,263
0,2,28,1,2,0.0076045627376425855,263
0,2,60,2,2,0.0076045627376425855,263
0,2,50,3,2,0.0076045627376425855,263
0,2,30,2,2,0.0076045627376425855,263
0,2,20,2,2,0.0076045627376425855,263
